place_id,name,rating,kategori,htm,latitude,longitude,deskripsi
193,Taman Glugut,4,Agrowisata,0,-78777976,1103939277,wisata alam keluarga yang berada di tepi sungai opak menyediakan fasilitas gazebo spot foto dan wahana anak anak serta jalur bersepeda santai di tengah pepohonan bambu
202,Tourism Village East Kaliurang,4.4,Agrowisata,20000,-75965373,1104312039,desa wisata di sisi timur kawasan kaliurang yang menawarkan homestay aktivitas budaya serta edukasi vulkanologi seputar merapi
203,Karangtengah Tourism Village,4.3,Agrowisata,30000,-79376732,1103819417,desa wisata dengan pesona pedesaan dan aktivitas seperti membatik berkebun dan membuat jajanan tradisional
205,Dewi Kano Tourism Village Kaligono,4.4,Agrowisata,5000,-77348214,1100803636,desa wisata yang berfokus pada konservasi alam kegiatan pertanian dan edukasi lingkungan dengan pemandangan pegunungan
209,Desa Wisata Wanurejo,4.4,Agrowisata,15000,-76117993,1102179225,terletak dekat candi borobudur desa ini menawarkan aktivitas seperti membatik membuat gerabah dan belajar seni tari tradisional
214,Series Mahogany Village Nampurejo,4.4,Agrowisata,0,-786489,1099833922,kompleks wisata alam dan edukasi di tengah hutan mahoni menawarkan ketenangan homestay dan kegiatan outdoor ramah lingkungan
226,Tourism Village Kinahrejo,4.4,Agrowisata,0,-75816346,1104434317,desa wisata kinahrejo terletak di lereng gunung merapi dan menjadi titik awal favorit bagi wisatawan yang ingin menjelajahi merapi melalui lava tour dikenal sebagai rumah almarhum mbah maridjan juru kunci merapi desa ini menyuguhkan pengalaman edukatif dan emosional tentang letusan merapi budaya jawa dan kehidupan masyarakat sekitar gunung berapi
228,Tempat Wisata Mangir,4.4,Agrowisata,10000,-79001751,1102752732,tempat wisata mangir merupakan destinasi bernuansa sejarah dan budaya yang terletak di wilayah pajangan bantul tempat ini menyimpan kisah legenda ki ageng mangir dan memiliki potensi wisata budaya pertanian serta alam pedesaan yang masih alami cocok untuk wisata edukasi dan napak tilas sejarah lokal
229,Gabugan Tourism Village,4.4,Agrowisata,0,-76609669,1103797272,desa wisata gabugan di sleman menawarkan pengalaman pedesaan otentik dengan suasana asri dan aktivitas pertanian tradisional wisatawan dapat ikut serta dalam panen padi belajar membatik membuat kerajinan serta menikmati pertunjukan seni rakyat desa ini juga mendukung prinsip wisata ramah lingkungan dan pemberdayaan masyarakat
237,Tourism Village Mina Padi Cibuk Kidul,4.2,Agrowisata,0,-77555134,1103099247,desa wisata pertanian berbasis mina padi ikan dan padi edukatif dan ramah lingkungan
241,Desa Wisata Sendari,4.3,Agrowisata,25000,-77375229,110325111,desa kreatif pengrajin gerabah dan batik cocok untuk wisata budaya dan workshop kerajinan
245,Desa Wisata Pengkok,4.3,Agrowisata,3000,-78729739,1104957781,desa wisata edukatif yang menyajikan kehidupan pedesaan pertanian dan budaya lokal
249,Tourism Village Display,4.3,Agrowisata,5000,-771528,1103655598,galeri mini yang menampilkan ragam desa wisata di jogja sebagai inspirasi destinasi
258,Tourism Village Mlangi,4.7,Agrowisata,5000,-77622125,1103313254,desa religius yang terkenal dengan pondok pesantren cocok untuk wisata religi dan budaya
259,Between Two Gates,4.6,Agrowisata,0,-78309782,1103992208,spot foto di antara dua gapura klasik simbol transisi budaya dan waktu di yogyakarta
269,Desa Wisata Malangan,4.4,Agrowisata,5000,-77586856,1102533026,desa wisata dengan aktivitas budaya seperti seni karawitan dan kuliner tradisional
281,Kampung Wisata Tanen | KAWITAN,4.4,Agrowisata,0,-76270688,1104201728,kampung yang memadukan pertanian seni tradisional dan ekowisata dalam satu tempat
282,MANGGALIA INDAH,3.9,Agrowisata,15000,-75915194,1105074483,tempat wisata modern keluarga dengan fasilitas hiburan dan kuliner yang nyaman
285,Government Tourist Information Center,4.6,Agrowisata,0,-77953215,1103657371,pusat informasi resmi pariwisata yogyakarta lengkap dengan peta dan brosur wisata
287,Unit Office Taman Wisata Candi Prambanan,4.6,Agrowisata,50000,-77541053,1104928588,kantor pengelola resmi wisata candi pusat informasi dan tiket
289,Tourism Village Srowolan,4.3,Agrowisata,10000,-76663773,1103858213,desa wisata di kaki merapi dengan kesejukan alam kopi lokal dan atraksi budaya
291,Tourism Village Bokesan,4.4,Agrowisata,0,-7706782,1104742429,desa wisata dengan pengalaman berkebun beternak dan edukasi alam
298,Sekretariat Sementara Museum Anak Kolong Tangga,4.4,Agrowisata,5000,-78187216,1103646999,museum mainan pertama di indonesia terletak di bawah tangga gedung taman budaya yogyakarta menampilkan berbagai koleksi mainan dan alat peraga edukatif
301,Brug Londho River Track,3.9,Agrowisata,0,-77064216,1104195737,jalur wisata alam di ngaglik sleman yang menawarkan pengalaman menyusuri sungai dan pemandangan sawah yang asri
308,Tourism Village Pandeyan,4.6,Agrowisata,0,-7814481,110386165,desa wisata di yogyakarta yang menampilkan kekayaan budaya lokal termasuk kerajinan batik dan tembikar serta suasana pedesaan yang asri
309,Wisata Taman Kelinci Borobudur,4.8,Agrowisata,25000,-76223711,1102216511,tempat wisata edukatif di dekat candi borobudur menawarkan interaksi dengan kelinci dan berbagai spot foto menarik
310,JOGJA TREVELING,4.9,Agrowisata,350000,-77654126,1103422458,penyedia layanan paket wisata di yogyakarta yang menawarkan berbagai destinasi menarik dengan harga terjangkau
313,TeknoPark Mega Andalan,4.5,Agrowisata,0,-7803753,1104830177,kawasan industri dan edukasi di kalasan sleman yang fokus pada produksi peralatan medis serta menjadi tempat kunjungan pembelajaran teknologi manufaktur
314,Tourism Village Duchy,4.4,Agrowisata,0,-7806093,11035831,desa wisata budaya di sekitar keraton yogyakarta yang menyajikan seni kuliner dan kehidupan tradisional masyarakat jawa secara autentik
317,KAWIDASRI,4.4,Agrowisata,0,-76372592,1103891213,kawidasri kampoeng wisata daleman asri adalah desa wisata di lereng gunung merapi sleman yang menawarkan wisata alam dan edukatif seperti susur sungai outbound dan camping dalam suasana pedesaan yang sejuk dan asri
321,Kampung Wisata Sosromenduran,4,Agrowisata,0,-779219,110362151,kampung wisata yang menawarkan pengalaman budaya lokal termasuk seni kuliner dan kerajinan tangan
327,Kampung Wisata Rejowinangun,4.3,Agrowisata,0,-78152776,1103988359,sebuah desa wisata yang menawarkan pengalaman budaya lokal termasuk kegiatan pertanian dan kerajinan tangan tradisional
328,Tawangrejo Agro Tourism,4.4,Agrowisata,30000,-76354887,1104032545,destinasi wisata agrowisata yang menyajikan keindahan alam serta pengalaman memetik buah langsung dari kebun
331,Gantangan Lomba Burung New POSJAKAL,4.7,Agrowisata,0,-77459912,1103916566,arena lomba burung berkicau yang menjadi ajang kompetisi bagi pecinta burung
343,Turunan Stone Park,4.5,Agrowisata,3000,-79730132,1104351912,taman alam berbatu dengan lanskap unik dan cocok untuk spot foto serta menikmati pemandangan alam khas pegunungan
351,TemenNyantai TransWisata,4.6,Agrowisata,5000,-77689452,1104261352,layanan wisata santai dengan berbagai paket menarik cocok untuk liburan fleksibel di jogja
354,GRINATA ADVENTURE 1,4.9,Agrowisata,350000,-75902269,1104423564,wisata petualangan alam dengan kegiatan seperti off road camping dan outbound di alam terbuka
358,Yogyakarta Night Tours - Meeting Point Klasik : Historical Walking and Food Tour,5,Agrowisata,5000,-7797444,1103653174,tur malam menjelajahi sejarah dan kuliner jogja dengan pengalaman jalan kaki yang unik
359,Borobudur Prambanan Tour,5,Agrowisata,300000,-78208261,1103769404,paket wisata menjelajahi dua candi ikonik indonesia dengan panduan berpengalaman
360,Ekowisata Nologaten,5,Agrowisata,0,-77748937,1103988399,wisata edukatif berbasis alam dan pelestarian lingkungan dengan suasana pedesaan yang asri
368,LAVA TOUR MERAPI PM ADVENTURE,5,Agrowisata,300000,-76133163,1104264733,wisata jeep menyusuri bekas erupsi merapi seru dan penuh wawasan geologis
373,Mates Landscape,4.8,Agrowisata,0,-78354971,110278055,lanskap taman alami yang menawarkan spot foto instagenik dengan latar alam pegunungan dan persawahan
376,Tugu Ireng (Dusun Putat),4.8,Agrowisata,20000,-79581348,1105170714,tugu unik berwarna hitam yang menjadi penanda sejarah lokal dan spot menarik untuk dikunjungi
380,TripJogja - Fotografer - Videografer - Edit Foto - Paket Wisata,5,Agrowisata,5000,-7776267,1103527029,layanan wisata lengkap dengan dokumentasi profesional untuk perjalanan di jogja
392,Borobudur Tour From Semarang Port,5,Agrowisata,1380000,-7809607,110372001,paket wisata yang menawarkan perjalanan dari pelabuhan semarang ke candi borobudur termasuk transportasi dan pemandu
395,Desa Wisata Trumpon,4.5,Agrowisata,0,-76246794,1103601189,desa yang menawarkan pengalaman budaya dan kehidupan pedesaan termasuk kerajinan lokal dan kuliner tradisional
399,Lapangan Reklamasi Ngentak,5,Agrowisata,0,-77129217,1103384292,tempat ibadah yang disediakan bagi pengunjung kawasan candi prambanan menjaga kenyamanan beribadah
409,New Destination Wisata Desa Terong,4,Agrowisata,5000,-78761445,1104582338,destinasi wisata baru yang menawarkan keindahan alam dan budaya lokal di desa terong
414,Raharjo Tour,5,Agrowisata,5000,-78266281,1104077844,layanan tur yang menawarkan paket perjalanan wisata di yogyakarta dan sekitarnya
417,Watu Dandang,3.7,Agrowisata,0,-78919557,1104068584,batu besar dengan bentuk unik yang menjadi daya tarik bagi pecinta alam dan fotografi
421,Aisha tour planner & transport service,5,Agrowisata,5000,-77972273,1103905519,layanan perencanaan tour dan transportasi privat di yogyakarta menyediakan paket city tour antar jemput bandara hingga trip luar kota
427,Jatirejo Village Tour : Local Life Discovery,5,Agrowisata,5000,-77343679,1103717056,tur desa yang menawarkan pengalaman langsung kehidupan masyarakat lokal termasuk kegiatan pertanian dan kerajinan
430,Lawang Ijo,4,Agrowisata,10000,-78279009,1103966895,gerbang hijau yang menjadi ikon dan pintu masuk ke kawasan wisata tertentu menambah daya tarik visual
436,Sasana Tirta Kembaran,5,Agrowisata,10000,-7830802,1103349744,tempat pemandian tradisional yang digunakan untuk relaksasi dan kegiatan sosial masyarakat
3,Tebing Breksi,4.4,Alam,10000,-7781476547,1105045757,tebing breksi merupakan tempat wisata yang berada di wilayah kabupaten sleman lokasinya berada di sebelah selatan candi prambanan dan berdekatan dengan candi ijo serta kompleks keraton boko tempat ini merupakan perbukitan batuan breksi dari atas tebing wisatawan dapat melihat keseluruhan kota jogja bahkan aktivitas masyarakat pun dapat terlihat dari atas tebing serpeti pesawat yang lepas landas kendaraan yang hilidr mudik
7,Hutan Pinus Mangunan Dlingo,4.6,Alam,3000,-79267837,1104319967,hutan pinus mangunan yang ada di jogja bisa menjadi destinasi hutan yang tepat disana banyak terdapat pepohonan yang tinggi menjulang yang dikenal dengan nama pinus merkusi nggak heran deh kalau banyak wisatawan yang merasa kepincut dengan objek wisata ini sebab kesejukan dan keindahan pemandangannya benar benar mempesona mata
18,Kaliadem,4.5,Alam,3000,-7582047728,1104476387,bunker kaliadaem merupakan tempat untuk berlindung dari ganasnya gunung merapi tempat ini menyimpan banyak jejak ganasnya gunung merapi di bunker kaliadem terdapat pintu utama yang terbuat dari baja setebal cm ruangan bungker yang masih memiliki sisa sisa material merapi dan bagian atas yang dilapisi batu serta pasir vulkanis
24,Bukit Paralayang Watugupit,4.7,Alam,5000,-8026589501,1103458478,seperti namanya bukit ini digunakan sebagai tempat untuk landasan pacu olahraga paralayang para profesional banyak yang berlatih di sini bahkan orang awam pun dapat mencoba paralayang karena terdapat instruktur yang akan mendampingi
28,Lava Merapi and Alien Stone,4.5,Alam,350000,-76023375,1104552585,lava tour merapi bisa menjadi pilihan aktivitas wisata ketika berlibur di yogyakarta lava tour merapi adalah istilah untuk tur wisata kawasan terdampak erupsi gunung merapi tahun tur yang dimaksud saat ini merupakan tur menggunakan mobil jenis jeep kegiatan tur meliputi kunjungan ke sejumlah titik yang terkena dampak langsung erupsi lava tour merapi ditawarkan sebagai aneka pilihan paket wisata paket paket ini dibanderol dengan harga yang beragam setiap paket sudah termasuk tiket masuk untuk sejumlah titik pemberhentian paket wisata ini bisa menampung rombongan sehingga cocok untuk dijajal sebagai liburan keluarga atau bersama teman
31,Wisata Kalibiru,4.4,Alam,10000,-78057305,110127969,wisata kalibiru terletak pada ketinggian mdpl yang kini telah menjadi hutan wisata nan subur dengan perbukitan yang ditumbuhi oleh berbagai pepohonan seperti cemara jati dan kayu putih tempat wisata ini terletak di pedesaan tak heran jika banyak dijumpai rumah berarsitektur jawa kuno rumah – rumah ini difungsikan sebagai kantor pengelola serta loket tiket masuk setelah itu pengunjung harus melakukan trekking di hutan untuk dapat menuju spot utama di sini telah disediakan jalan setapak sehingga pengunjung tinggal mengikuti arah jalan tersebut di sepanjang perjalanan pengunjung akan menemukan berbagai jenis vegetasi mulai dari semak – semak hingga pepohonan berbatang kayu yang bercabang – cabang selain itu ada juga tanaman anggrek yang seolah bersembunyi di rimbunnya pepohonan
36,Taman Sungai Mudal,4.6,Alam,10000,-77628136,1101161626,taman sungai mudal sebuah objek wisata alam terbuka yang terletak di kabupaten kulon progo yang menawarkan pesona sebuah kolam pemandian yang bersumber dari mata air alami mata airnya bersumber dari sebuah goa sehingga kehadiran taman sungai mudal menjadi mengesampingkan kesan angker dari sebuah goa apalagi ditambah dengan dukungan fasilitas yang membuat para wisatawan merasa nyaman saat berada di sana
40,Bukit Klangon,4.5,Alam,5000,-75768966,1104548266,di bukit klangon kita akan disuguhkan pemandangan luar biasa dari gunung merapi kita bisa melihat gunung berapi aktif ini dengan jarak yang begitu dekat kita tak perlu mendaki hingga puncaknya karena di bukit klangon ini kita sudah bisa melihat puncak gunung merapi dengan cukup jelas di sini terdapat beberapa gardu pandang yang bisa kita gunakan untuk melihat eksotisme alam sekitar bukit gardu pandang ini juga biasa menjadi spot foto jadi jangan sampai anda melupakan kamera anda untuk berburu pemandangan yang instagenic
41,Taman Wisata Kaliurang,4.4,Alam,8000,-7598797,11042636,taman wisata kaliurang dapat menjadi referensi wisata akhir pekan keluarga pemandangan sekitar sangatlah indah masih banyak pepohonan yang tumbuh tinggi menjulang ditambah lagi pemandangan puncak gunung merapi yang gagah selain itu udara di sekitar pun masih sangat sejuk aroma asap kendaraan bermotor pun tidak tercium di kawasan ini berada di sini membuat paru – paru menjadi lebih sehat banyak wisatawan yang datang bersama keluarga duduk santai beralaskan tikar di atas rerumputan sambil bercengkerama dengan keluarga ditambah lagi suasana yang sangat mendukung untuk beramah – tamah selain menyuguhkan pemandangan yang indah taman wisata kaliurang pun memiliki wahana outbound seperti flying fox hingga rumah pohon ridz high rope
45,Mangrove Jembatan Api-Api (MJAA),4.3,Alam,8000,-789485,1100253631,mangrove jembatan api api di kulon progo ini memadukan konsep alam dan spot instagenik anda bisa bersantai sambil foto foto di sini
47,Bukit Wisata Pulepayung,4.5,Alam,10000,-78001106,1101238954,pule payung kulon progo yogyakarta merupakan wisata alam dengan spot foto instagramable letaknya tidak jauh dari kalibiru yaitu terletak di kulon progo yogyakarta tempat wisata yang satu ini sangat direkomendasi untuk anak muda yang ingin mendapatkan foto foto unik karena memiliki banyak spot foto menarik daya tarik yang pertama dari pule payung yogyakarta adalah objek wisata yang menyajikan pesona alam pegunungan sehingga orang orang menyebutnya dengan bukit wisata pule payung yogyakarta adalah objek wisata yang bukan hanya sekedar menawarkan keindahan serta kenyamanan dalam berwisatanya saja namun mampu memberikan rasa aman bagi setiap pengunjungnya daya tarik pule payung yogyakarta yang paling populer adalah onjek wisata yang menyajikan beragam spot keren yang instagramable
48,Seribu Batu Songgo Langit,4.6,Alam,2500,-7931099,110429738,disekitar hutan pinus ternyata masih banyak tempat wisata yang wajib dikunjungi salah satunya adalah seribu batu songgo langit namanya terdengar asing namun apabila disebut rumah hobbit tentunya sahabat akan segera tahu tempat wisata ini ya seribu batu songgo langit adalah lokasi dimana terdapat rumah hobbit yang ada di kawasan mangunan rumah hobbit yang dimaksud berbeda dengan yang ada di new zealand pastinya rumah hobbit disini merupakan tiruan dari yang terdapat di film hobbit atau yang ada di new zealand songgo langit berarti penyangga langit hal ini dikarenakan di seribu baru songgo langit terdapat bukit yang seakan akan merupakan tiang dari langit seribu batu songgo langit merupakan tempat wisata di kawasan dlingo yang menawarkan berbagai macam atraksi wisata namun kebanyakan adalah spot foto spot foto di seribu batu hampir semuanya anti mainstream
49,Jurang Tembelan Kanigoro,4.5,Alam,0,-79401065,1104300062,objek wisata bantul ini ialah wisata alam spot foto terbaru yang sekarang menjadi hits di kalangan remaja kekinian sebab jurang tembelan mangunan jogja memiliki deck view atau gardu pandangan terlihat cukup unik mirip seperti kapal tak heran pada akhirnya banyak wisatawan menyebutnya sebagai kapal titanic diatas awan sebelum seperti sekarang sebenarnya jurang tembelan kanigoro bantul tergolong masih sepi pengunjung lantaran baru saja dikembangkan oleh pihak pengelola wisata namun spot foto corner berupa gardu pandangan unik dan keindahan dimilikinya membuat pengunjung mulai ramai menyemarakkan sehingga tak lagi wisatawan lokal saja berbondong bondong kesana wisatawan luar kota pun dibuat penasaran dan menyempatkan waktu berswafoto di wisata alam jogja ini pengunjung diperbolehkan bebas melakukan sesi pemotretan atau pun hanya sekedar berselfie ria tak hanya itu saja pengunjung pun juga dapat menyaksikan lanskap matahari terbenam ketika menjelang sore hari dan juga kala matahari terbit yang diiringi pula keindahan tebal nya kabut putih khas pegunungan mangunan
51,Blue Lagoon Jogja,4.3,Alam,3000,-77044358,11045026,blue lagoon jogja merupakan salah satu obyek wisata yang di jadikan tempat pemandian sumber mata air ini yang muncul dari permukaan tanah di dalam kolam apabila anda melihat ke dalam kolam akan terlihat gelembung gelembung kecil yang muncul dari permukaan tanah hal itu menunjukkan bahwa terdapat air yang terus menerus muncul dari permukaan tanah tersebut meskipun blue lagoon di jogja ini sudah lama namun tempat wisata ini mulai tenar dipertengahan tahun pemandian blue lagoon ini terletak di desa dalem widodomartani ngemplak sleman yogyakarta
55,Bukit Panguk Kediwung,4.5,Alam,3000,-79583695,1104407622,bukit panguk kediwung berlokasi di kediwung mangunan dlingo bantul yogyakarta jangan khawatir untuk tersesat karena di sepanjang jalan menuju ke lokasi kita akan melihat beberapa papan petunjuk kurang lebih berjarak km dari pusat kota yogyakarta dari pusat kota yogyakarta anda bisa bergerak menuju ke selatan tepatnya ke arah jalan imogiri timur ikuti jalan hingga menemukan pasar imogiri lalu belok kiri dan lanjutkan perjalanan menuju ke arah dlingo dari sana anda akan mulai melihat petunjuk jalan menuju bukit panguk kediwung akses jalan menuju bukit panguk kediwung sudah diaspal halus hanya saja konturnya sedikit naik turun namun masih dalam kategori aman sangat disarankan untuk menggunakan kendaraan pribadi karena akses ke sini menggunakan kendaraan umum cukup sulit salah satu yang menjadi magnet bagi pengunjung untuk datang adalah keindahan pemandangan alamnya pengelola sudah menyediakan beberapa gardu pandang terbuat dari kayu dan bambu yang sengaja dibangun menjorok ke arah bibir tebing sehingga pengunjung bisa melihat dengan jelas pemandangan di bawah bukit panguk kediwung yang eksotis dari atas kita bisa melihat aliran panjang sungai oya yang membelah bukita hijau yang menghampar hijau gardu pandang ini bukan gardu pandang biasa karena memiliki bentuk bentuk yang unik karena sekaligus jadi spot foto ada yang berbentuk jembatan memanjang bentuk sayap kupu kupu bentuk kereta kuda dan masih banyak lagi gardu pandang dengan bentuk biasa juga tersedia gardu pandang di puncak bukit penguk kediwung ini terbagi dalam dua bagian yaitu bagian timur dan selatan gardu pandang bagian timur sangat cocok untuk menikmati matahari terbit di pagi hari sedangkan gardu pandang sebelah selatan menghadap ke pegunungan yang berjajar kedua spot sama sama menyuguhkan pemandangan yang luar biasa dan tidak boleh anda lewatkan ketika liburan di yogyakarta
58,Air Terjun Kedung Pedut,4.5,Alam,3000,-77699875,1101210707,air terjun kedung pedut atau biasa disebut curug kedung pedut berasal dari istilah bahasa jawa curug yang berarti air terjun kedung berarti kubangan atau kolam dan pedut berarti kabut air terjun kedung pedut merupakan salah satu wisata alam yang di kulonprogo yang dikenal karena keindahan warna airnya
62,Gunung Api Purba Nglanggeran,4.6,Alam,15000,-78427585,1105379165,kawasan ekosistem gunung purba nglanggeran atau yang biasa disebut gunung nglanggeran ini merupakan kawasan yang litologinya disusun oleh material vulkanik tua berbentuk gunung batu raksasa yang membentang sepanjang kurang lebih meter dengan tinggi mencapai meter di kawasan gunung api purba nglanggeran juga dijumpai fauna dan flora langka seperti tanaman tremas tanaman obat yang hanya hidup dikawasan ekowisata gunung api purba kera ekor panjang
67,Bukit Lintang Sewu,4.5,Alam,3000,-79157997,1104366436,bukit lintang sewu merupakan salah satu tempat wisata alam yang berhawa sejuk di yogyakarta keunggulan lainnya adalah lingkungannya menawarkan panorama yang indah dari bukit ini dapat melihat pemandangan lampu kota atau melihat bintang di malam hari bukit lintang sewu juga punya banyak fasilitas liburan seperti area glamping camping outbound dan hutan kayu putih
76,Wisata Alam Watu Amben,4.4,Alam,0,-78576729,1104727388,watu amben jogja merupakan sebuah wisata alam dimana kamu bisa menikmati lampu kota yogyakarta di malam hari salah satu wisata alam unik dari jogja adalah watu amben jogja objek wisata ini tidak hanya memiliki unsur alam namun juga unsur buatan objek wisata ini termasuk ke dalam komplek perbukitan bukit bintang gunung kidul dari atas bukit ini kamu bisa melihat indahnya pemandangan alam dan pemandangan kota jogja apalagi kalau dinikmati pada malam hari kamu bisa melihat kelap kelip lampu kota jogja tempat ini pun menjadi pilihan tempat nongkrong asyk bagi para masyarakat jogja khususnya para anak muda ya karena selain menikmati pemandangan kamu juga bisa menikmati hidangan lezat khas jogja
78,Goa Selarong,4.3,Alam,6000,-7860965268,1103145237,gua selarong atau bisa disebut gua diponegoro adalah gua berbudaya dan sejarah sekaligus tempat wisata alam dan religius goa selarong merupakan sebuah goa kecil yang berada di dusun kembangputihan kecamatan pajangan bantul lokasinya cukup mudah dijangkau karena tak jauh dari kota bantul diy di goa selarong terdapat dua goa yaitu goa kakung dan goa p sekilas tak ada tampilan yang menarik secara visual dari kedua goa tersebut namun goa itu menyimpan peristiwa besar yang menjadi bagian dari budaya dan sejarah bangsa indonesia terutama kisah kepahlawanan pangeran diponegoro yang menjadi tokoh besar saat meletusnya perang jawa pada utri
